record_id,question,anchor,answerchoice_a,answerchoice_b,answerchoice_c,answerchoice_d,answerchoice_e,correct_answer,answer_explanation,age,subject,shelf_image,student_assessment_shelf_complete
00A8AB4B,"<p><span style=""font-size: 10pt;"">A 3-year-old boy is brought to the pediatric clinic due to 6 months of intermittent abdominal pain, poor appetite, and weight concerns. The mother describes the pain as diffuse and crampy, lasting several hours, and often accompanied by vomiting. He has had intermittent diarrhea with bulky, foul-smelling, and greasy stools. Over this time, his appetite has declined and his clothing has become looser. On physical exam, the child appears thin, with a protuberant abdomen, and mild generalized abdominal tenderness without rebound or guarding. His growth chart reveals weight and height percentiles have dropped significantly compared to prior visits.</span></p>","What is the most likely diagnosis?",Gastroenteritis,"Celiac disease","Irritable bowel syndrome",Appendicitis,"Inflammatory bowel disease",b,"<p>This child's constellation of symptoms-chronic abdominal pain, vomiting, foul-smelling diarrhea (steatorrhea), failure to thrive, abdominal distention, and poor weight gain-is highly suggestive of celiac disease, an autoimmune enteropathy triggered by gluten ingestion in genetically predisposed individuals. In children, the most common signs include:</p>  <p class="""" data-start=""1570"" data-end=""1656"">Chronic gastrointestinal symptoms (diarrhea, bloating, abdominal pain, vomiting)</p>  <p class="""" data-start=""1659"" data-end=""1729"">Malabsorption (foul-smelling, greasy stools, and growth failure)</p>  <p class="""" data-start=""1732"" data-end=""1799"">Weight loss or failure to gain weight despite adequate intake</p>  <p class="""" data-start=""1802"" data-end=""1845"">Irritability or fatigue in some cases</p>  <p>Diagnosis is typically confirmed by positive anti-tissue transglutaminase (tTG) IgA antibodies and small bowel biopsy showing villous atrophy.</p>  <p>Why the other choices are incorrect:</p>  <p class="""" data-start=""2048"" data-end=""2266"">A. Gastroenteritis:<br data-start=""2071"" data-end=""2074"">Typically presents with acute-onset symptoms such as vomiting and diarrhea lasting a few days. It does not persist for months and doesn't cause chronic weight loss or growth failure.</p>  <p class="""" data-start=""2270"" data-end=""2516"">C. Irritable bowel syndrome (IBS):<br data-start=""2308"" data-end=""2311"">IBS is rare in young children and is more often diagnosed in adolescents and adults. It does not cause weight loss, vomiting, or signs of malabsorption like steatorrhea. Growth is usually normal.</p>  <p class="""" data-start=""2520"" data-end=""2725"">D. Appendicitis:<br data-start=""2540"" data-end=""2543"">Presents with acute localized pain (often in the right lower quadrant), sometimes with fever, nausea, and vomiting. It does not cause chronic symptoms or failure to thrive.</p>  <p class="""" data-start=""2729"" data-end=""3002"">E. Inflammatory bowel disease (IBD):<br data-start=""2769"" data-end=""2772"">Can present with chronic symptoms and growth failure but typically occurs in older children and adolescents. It often features bloody diarrhea, perianal disease, or systemic signs like fever, none of which are seen here.</p>","3 years",7,,2
0D686278,"<p>A 4-year-old boy is brought to the emergency department by his parents. They report that he has had a fever for the past 3 days, which has been as high as 102°F at home. He has also been complaining of pain in his right leg, and they have noticed that he has been limping. On examination, the boy appears ill and has a temperature of 101.5°F. His right hip is tender to palpation and he resists passive movement of the hip joint. Laboratory studies show a white blood cell count of 14,000/mm3 and a C-reactive protein level of 4.5 mg/dL.</p>","What is the most appropriate treatment?","Intravenous antibiotics and surgical drainage","Oral antibiotics and rest","Intravenous fluids and antipyretics","Surgical intervention and physical therapy","Pain management and observation",a,"<p>This 4-year-old boy presents with fever, limp, and refusal to bear weight or move the right hip, along with elevated white blood cell count and C-reactive protein-classic signs of septic arthritis, a true pediatric orthopedic emergency. Septic arthritis most commonly affects the hip in young children and requires urgent intervention to prevent permanent joint damage and systemic spread.</p>  <p>The correct treatment is intravenous (IV) antibiotics and surgical drainage (Answer A). IV antibiotics (typically targeting <em data-start=""696"" data-end=""719"">Staphylococcus aureus</em>, the most common causative organism) begin immediately, but surgical drainage is essential to physically remove purulent material, relieve intra-articular pressure, and reduce inflammation. Delayed or inadequate treatment can result in avascular necrosis, growth disturbances, or chronic arthritis.</p>  <p>Why the other answer choices are incorrect:</p>  <p class="""" data-start=""1080"" data-end=""1404"">Answer B: Oral antibiotics and rest<br data-start=""1119"" data-end=""1122"">This approach is inappropriate for septic arthritis, which requires parenteral antibiotics and often surgical intervention. Oral antibiotics may be used for milder infections or as a step-down after initial IV therapy, but not as sole therapy in a joint-threatening emergency.</p>  <p class="""" data-start=""1408"" data-end=""1690"">Answer C: Intravenous fluids and antipyretics<br data-start=""1457"" data-end=""1460"">Supportive care alone (like IV fluids and fever reducers) may provide temporary symptom relief but does nothing to address the infection. Without targeted antimicrobial and surgical therapy, the infection can rapidly worsen.</p>  <p class="""" data-start=""1694"" data-end=""2020"">Answer D: Surgical intervention and physical therapy<br data-start=""1750"" data-end=""1753"">While surgical drainage is part of the correct management, initiating physical therapy in the acute phase of infection is inappropriate and may worsen pain or injury. Physical therapy may be considered only after infection is resolved and healing has begun.</p>  <p class="""" data-start=""2024"" data-end=""2297"">Answer E: Pain management and observation<br data-start=""2069"" data-end=""2072"">This approach dangerously underestimates the severity of septic arthritis. Observation without treatment can lead to joint destruction and sepsis. Pain control is important, but not a substitute for definitive care.</p>","4 years",19,,2
0MCQWLGE,"<p class="""" data-start=""196"" data-end=""774"">A 15-month-old girl is brought to the pediatric clinic by her parents due to concerns about bowed legs and delayed walking. She was born full-term without complications and has otherwise been healthy. Her parents note that she has not yet started walking independently, and they have noticed that her legs appear curved. She drinks approximately 30 ounces of cow's milk per day but does not consume fortified formula or vitamin supplements. The family lives in a northern climate, and the child spends most of her time indoors with minimal sun exposure.</p>  <p class="""" data-start=""776"" data-end=""1021"">On physical examination, the child has frontal bossing, widened wrists, and a prominent costochondral junction (rachitic rosary). Radiographs of the lower extremities reveal metaphyseal cupping and fraying at the distal femur and proximal tibia.</p>","What is the most likely diagnosis?","Lead poisoning","Iron deficiency anemia","Calcipenic rickets","Phosphenic rickets","Osteogenesis imperfecta",c,"<p>Answer Explanation:<br data-start=""1315"" data-end=""1318"">This child presents with classic features of calcipenic rickets, a condition caused by vitamin D deficiency, leading to inadequate calcium absorption from the gut and subsequent impaired bone mineralization. Key clinical signs include:</p>  <p>Bowed legs (genu varum) due to weight-bearing on soft, demineralized bones</p>  <p>Frontal bossing and widened wrists, which reflect abnormal growth plate activity</p>  <p>Rachitic rosary, a beaded appearance of the costochondral junction</p>  <p>Radiographic findings such as cupping and fraying of the metaphyses-hallmarks of rickets</p>  <p>Her risk factors include a diet high in cow's milk (low in vitamin D and potentially low in phosphate), lack of sunlight exposure, and no vitamin D supplementation-all of which are common contributors to vitamin D deficiency in toddlers.</p>  <p> </p>  <p>Why the other choices are incorrect:</p>  <p class="""" data-start=""2198"" data-end=""2456"">A. Lead poisoning:<br data-start=""2220"" data-end=""2223"">Lead toxicity can cause developmental delays and anemia, but it does not cause bony deformities like bowed legs or metaphyseal changes. Physical findings such as wrist widening or rachitic rosary are not seen in lead poisoning.</p>  <p class="""" data-start=""2460"" data-end=""2728"">B. Iron deficiency anemia:<br data-start=""2490"" data-end=""2493"">While common in toddlers who consume excessive cow's milk, iron deficiency anemia typically presents with pallor, fatigue, and sometimes pica-not skeletal abnormalities. It also does not explain the X-ray findings or rachitic rosary.</p>  <p class="""" data-start=""2732"" data-end=""3134"">D. Phosphopenic rickets:<br data-start=""2760"" data-end=""2763"">This form of rickets (e.g., X-linked hypophosphatemia) also causes bowed legs and bone deformities, but children usually have normal vitamin D levels and adequate sunlight exposure. Unlike calcipenic rickets, it often presents later and is usually inherited. This child has clear risk factors for vitamin D deficiency, making calcipenic rickets more likely.</p>  <p class="""" data-start=""3138"" data-end=""3414"">E. Osteogenesis imperfecta:<br data-start=""3169"" data-end=""3172"">This genetic condition is characterized by brittle bones and frequent fractures, not bowed legs or rachitic changes. It also presents with blue sclerae, hearing loss, and dentinogenesis imperfecta-not the classic findings seen here.</p>","15 months",16,0MCQWLGE.jpg,2
0ZFYGDKY,"<p>A 13-year-old boy is brought to the clinic by his parents due to concerns about delayed physical development. They note that he appears smaller and less physically mature than his classmates. He has not experienced voice deepening or growth of body hair. The patient denies fatigue, headaches, visual disturbances, or other systemic symptoms. He is otherwise healthy, performs well in school, and is active in sports. Family history reveals that his father experienced delayed puberty, with noticeable changes beginning around age 15. On physical exam, the patient has no axillary or pubic hair (Tanner stage I), and testicular volume is less than 4 mL bilaterally. His height is at the 10th percentile for age, and growth velocity has been normal. Bone age radiograph shows findings consistent with a skeletal age of approximately 10 years.</p>","What is the most appropriate management?","Order brain MRI","Start testosterone therapy","Reassure and monitor pubertal progression","Refer to endocrinology","Check serum prolactin and TSH",c,"<p>This boy's presentation is most consistent with constitutional delay of growth and puberty (CDGP), a common and benign variant of normal development. CDGP is characterized by:</p>  <p class="""" data-start=""1532"" data-end=""1587"">Short stature for age with normal growth velocity</p>  <p class="""" data-start=""1590"" data-end=""1657"">Delayed pubertal signs (Tanner stage I beyond age 13 in boys)</p>  <p class="""" data-start=""1660"" data-end=""1712"">Delayed bone age relative to chronological age</p>  <p class="""" data-start=""1715"" data-end=""1786"">Often a family history of delayed puberty (seen here in the father)</p>  <p>CDGP is a diagnosis of exclusion, but when the clinical history is classic and there are no red flags (such as neurologic symptoms, signs of systemic illness, or rapid growth failure), the most appropriate management is reassurance and regular monitoring. Puberty will typically begin spontaneously, though later than average.</p>  <p>Why the other answer choices are incorrect:</p>  <p class="""" data-start=""2180"" data-end=""2511"">A. Order brain MRI:<br data-start=""2203"" data-end=""2206"">A brain MRI is warranted if there are neurologic symptoms (e.g., vision changes, headaches, signs of hypopituitarism) or central puberty delay without an obvious cause. This patient has no concerning symptoms and a clear familial pattern of delayed puberty, making MRI unnecessary at this point.</p>  <p class="""" data-start=""2515"" data-end=""2848"">B. Start testosterone therapy:<br data-start=""2549"" data-end=""2552"">While low-dose testosterone can sometimes be used to initiate puberty in boys with CDGP, it's not first-line unless the delay is causing significant psychosocial distress or self-esteem issues. Given that this patient is otherwise well-adjusted and asymptomatic, reassurance is appropriate.</p>  <p class="""" data-start=""2852"" data-end=""3097"">D. Refer to endocrinology:<br data-start=""2882"" data-end=""2885"">Referral may be appropriate if there's diagnostic uncertainty, abnormal growth velocity, or lab abnormalities. In this classic presentation of CDGP, endocrinology referral is not necessary at this time.</p>  <p class="""" data-start=""3101"" data-end=""3332"">E. Check serum prolactin and TSH:<br data-start=""3138"" data-end=""3141"">These labs are useful when central hypothyroidism or hyperprolactinemia is suspected-usually in the setting of growth failure or systemic symptoms, neither of which is present here.</p>","13 years",1,,2
00ZG699S,"<p>A 12-year-old girl is brought to the pediatric clinic by her parents because of noticeable breast asymmetry. They report that her right breast has been developing over the past few months, while the left side appears unchanged. She has not yet had menarche. She denies breast pain, nipple discharge, or recent trauma. There is no family history of breast disease, and she has been otherwise healthy and growing well. On physical examination, the right breast is Tanner stage III and the left is Tanner stage I. No masses, skin dimpling, or lymphadenopathy are noted.</p>","What is the most appropriate next step?","Order breast ultrasound","Reassure and monitor development","Perform breast biopsy","Refer to pediatric surgery","Obtain estrogen and prolactin levels",b,"<p>Asymmetric breast development is a common and normal finding during puberty, particularly in early or mid-pubertal girls. Breast tissue often develops at different rates on each side, and one breast may appear noticeably larger than the other for months to even a year. In this case, the patient is otherwise healthy, has no concerning features (e.g., palpable mass, skin changes, rapid growth, pain, discharge), and is at an expected stage of pubertal development for her age.</p>  <p>The appropriate next step is reassurance and regular monitoring over time, allowing normal pubertal progression to occur. Most cases of breast asymmetry resolve spontaneously as both breasts eventually reach a similar stage of development.</p>  <p>Why the other answer choices are incorrect:</p>  <p class="""" data-start=""1897"" data-end=""2185"">A. Order breast ultrasound:<br data-start=""1928"" data-end=""1931"">Imaging is not indicated in a healthy, asymptomatic pubertal girl with normal breast tissue and no concerning physical findings. Ultrasound is reserved for when there is a suspicious mass, persistent asymmetry beyond puberty, or signs of pathology.</p>  <p class="""" data-start=""2189"" data-end=""2423"">C. Perform breast biopsy:<br data-start=""2218"" data-end=""2221"">Biopsy is invasive and not appropriate for physiologic pubertal asymmetry without a discrete or suspicious mass. Performing a biopsy without indication risks unnecessary complications and anxiety.</p>  <p class="""" data-start=""2427"" data-end=""2656"">D. Refer to pediatric surgery:<br data-start=""2461"" data-end=""2464"">Surgical referral may be considered only if significant asymmetry persists into late adolescence or adulthood and causes psychosocial distress. It is not indicated during normal puberty.</p>  <p class="""" data-start=""2660"" data-end=""2966"">E. Obtain estrogen and prolactin levels:<br data-start=""2704"" data-end=""2707"">Hormonal studies are not necessary in the absence of other signs of endocrine dysfunction, such as galactorrhea, amenorrhea, or global pubertal delay. This girl is clearly entering puberty, just with asynchronous breast development, which is normal.</p>","12 years",1,,2
7CQU6IC4,"<p class="""" data-start=""166"" data-end=""658"">At a routine 9-month well-child visit, parents report that their daughter has recently become more wary around unfamiliar people. In new environments, she tends to cling to them and shows signs of distress when approached by strangers. The child is meeting motor milestones: she can crawl, pull to stand, and bang two blocks together. She vocalizes with sounds like ""mama"" and ""dada,"" but not specifically. The parents are concerned about her recent behavior changes.</p>","Which developmental milestone is most consistent with this child's age?","Pincer grasp","Climbing stairs","Stranger anxiety","Walking without assistance","Speaking two-word phrases",c,"<p>Answer Explanation:<br data-start=""984"" data-end=""987"">Stranger anxiety is a normal developmental milestone that typically emerges between 6 and 9 months of age, becoming especially noticeable around 9 months. As infants develop object permanence and stronger attachments to primary caregivers, they begin to show anxiety or distress in the presence of unfamiliar individuals. This is a healthy sign of cognitive and social development, not a behavioral problem.</p>  <p>Why the other answer choices are incorrect:</p>  <p class="""" data-start=""1468"" data-end=""1753"">A. Pincer grasp:<br data-start=""1488"" data-end=""1491"">This fine motor milestone (using the thumb and forefinger to pick up small objects) typically develops around 9-10 months, but it is not clearly present in the vignette and is less consistently expected by exactly 9 months compared to stranger anxiety.</p>  <p class="""" data-start=""1757"" data-end=""1934"">B. Climbing stairs:<br data-start=""1780"" data-end=""1783"">Usually develops closer to 18 months of age. A 9-month-old is not expected to have the strength, balance, or coordination to climb stairs safely.</p>  <p class="""" data-start=""1938"" data-end=""2185"">D. Walking without assistance:<br data-start=""1972"" data-end=""1975"">Independent walking typically occurs between 12 and 15 months. At 9 months, it's normal for children to pull to stand and possibly cruise (walk while holding onto furniture), but not walk unaided.</p>  <p class="""" data-start=""2189"" data-end=""2405"">E. Speaking two-word phrases:<br data-start=""2222"" data-end=""2225"">This language milestone is expected around 24 months. At 9 months, babies may babble and say nonspecific sounds like ""mama"" or ""dada,"" but not combine words meaningfully.</p>","9 months",4,,2
540WLT6F,"<p>A 6-month-old infant is brought in for a routine well-child visit. The parents report that their baby can sit with support, reach for and grasp toys, and laugh aloud during play. She also babbles and turns her head toward voices. Her growth and weight are tracking appropriately along the growth curve, and she is feeding well.</p>","Which milestone is expected at this age?","Walks independently","Transfers objects between hands","Stands with assistance","Speaks first word","Feeds self with spoon",b,"<p>At 6 months of age, infants reach several important motor and language milestones. One of the key fine motor milestones is the ability to transfer objects from one hand to the other, which reflects improved hand-eye coordination and bilateral motor control. Other expected milestones at this age include:</p>  <p class="""" data-start=""1164"" data-end=""1254"">Gross motor: Sitting with support, rolling over from front to back and back to front</p>  <p class="""" data-start=""1257"" data-end=""1344"">Fine motor: Reaching for and grasping objects, transferring objects between hands</p>  <p class="""" data-start=""1347"" data-end=""1417"">Language: Laughing aloud, babbling, turning toward sounds/voices</p>  <p class="""" data-start=""1420"" data-end=""1499"">Social: Enjoys social interaction, may begin to show stranger recognition</p>  <p>Why the other answer choices are incorrect:</p>  <p class="""" data-start=""1557"" data-end=""1702"">A. Walks independently:<br data-start=""1584"" data-end=""1587"">This milestone typically occurs between 12 and 15 months. A 6-month-old is not developmentally ready to walk.</p>  <p class="""" data-start=""1706"" data-end=""1852"">C. Stands with assistance:<br data-start=""1736"" data-end=""1739"">Most infants begin to pull to stand or stand with support around 9-10 months, not as early as 6 months.</p>  <p class="""" data-start=""1856"" data-end=""1996"">D. Speaks first word:<br data-start=""1881"" data-end=""1884"">First meaningful words usually appear around 12 months. At 6 months, babbling is common, but not word use.</p>  <p class="""" data-start=""2000"" data-end=""2180"">E. Feeds self with spoon:<br data-start=""2029"" data-end=""2032"">This is a more advanced self-help skill, generally seen around 15-18 months, when fine motor coordination allows for more independent feeding.</p>","6 months",4,,2
20250407105520,"<p>A 2-month-old boy is brought to the emergency department after being found unresponsive during a nap. Despite resuscitation efforts, he is pronounced dead. The parents are devastated and ask if anything could have prevented this. The infant was born full-term without complications and had been feeding well. According to the parents, the baby usually slept in their bed between them. They mention that he often falls asleep while breastfeeding and remains there throughout the night. At the time of death, he was swaddled in a loose blanket and lying on his stomach on an adult mattress. There is no family history of cardiac or genetic disorders.</p>","Which of the following is the most important modifiable risk factor in this case?","Bed-sharing with parents","Full-term gestation","Male sex","Lack of family history","Exclusive breastfeeding",a,"<p>This vignette describes a case of Sudden Unexpected Infant Death (SUID), most likely due to Sudden Infant Death Syndrome (SIDS). The most important modifiable risk factor here is bed-sharing, which significantly increases the risk of infant suffocation or SIDS, especially in infants under 4 months. Adult beds are not designed for infant safety due to soft mattresses, loose bedding, and the risk of parental overlay.</p>  <p>Here's why the other options are incorrect:</p>  <p class="""" data-start=""1778"" data-end=""1912"">B. Full-term gestation:<br data-start=""1805"" data-end=""1808"">Preterm birth increases SIDS risk, but this infant was born full-term, which is not a risk factor.</p>  <p class="""" data-start=""1916"" data-end=""2022"">C. Male sex:<br data-start=""1932"" data-end=""1935"">Male infants have a slightly higher risk of SIDS, but this is non-modifiable.</p>  <p class="""" data-start=""2026"" data-end=""2190"">D. Lack of family history:<br data-start=""2056"" data-end=""2059"">Most cases of SIDS occur without a family history. Lack of family history does not reduce risk nor is it a modifiable factor.</p>  <p class="""" data-start=""2194"" data-end=""2294"">E. Exclusive breastfeeding:<br data-start=""2225"" data-end=""2228"">This is actually protective against SIDS, not a risk factor.</p>","2 months",15,,2
20250407105609,"<p>A 17-year-old previously healthy girl is evaluated after a transient loss of consciousness at school. She had been sitting in class when she suddenly felt lightheaded and nauseated, then slumped to the floor. Witnesses report that she lost consciousness for less than a minute and did not exhibit abnormal movements. Her eyes were closed, and she was pale but breathing normally. She regained consciousness quickly without confusion and was fully oriented. She reported feeling tired afterward but otherwise well, aside from a mild headache from hitting her head.</p>  <p>Her vitals at the time of the episode were BP 128/76 mm Hg and pulse 78/min.</p>  <p>ECG is normal. Physical exam is unremarkable.</p>","Which of the following is the most likely diagnosis?",Cataplexy,"Conversion disorder","Generalized seizure","Vasovagal syncope","Cardiac arrhythmia",d,"<p>This adolescent presents with a classic case of vasovagal syncope, the most common cause of fainting in teenagers. Hallmarks include:</p>  <p class="""" data-start=""1339"" data-end=""1416"">Prodromal symptoms (lightheadedness, nausea, warmth, or visual changes)</p>  <p class="""" data-start=""1419"" data-end=""1482"">Brief loss of consciousness without seizure-like activity</p>  <p class="""" data-start=""1485"" data-end=""1557"">Quick return to baseline mental status without postictal confusion</p>  <p class="""" data-start=""1560"" data-end=""1592"">Normal physical exam and ECG</p>  <p>There is no evidence of cardiac cause (e.g., no palpitations, murmur, or abnormal ECG), and no features suggestive of seizure (e.g., tonic-clonic movement, prolonged unconsciousness, confusion, incontinence).</p>  <p>Why the other options are incorrect:</p>  <p class="""" data-start=""1857"" data-end=""2002"">A. Cataplexy: Sudden loss of muscle tone triggered by emotions (e.g., laughter) in patients with narcolepsy. Not consistent with this case.</p>  <p class="""" data-start=""2005"" data-end=""2158"">B. Conversion disorder: Would involve inconsistent neurologic findings or apparent unresponsiveness with normal neurologic status; not likely here.</p>  <p class="""" data-start=""2161"" data-end=""2299"">C. Generalized seizure: Would involve tonic-clonic activity, prolonged unresponsiveness, and postictal confusion. None were present.</p>  <p class="""" data-start=""2302"" data-end=""2425"">E. Cardiac arrhythmia: Often causes sudden syncope without warning. This patient had a prodrome and normal ECG.</p>","17 years",2,,2
KSTS6JVC,"<p>A newborn female infant is evaluated shortly after delivery due to concerns about dysmorphic features and intrauterine growth restriction. The infant was born at 39 weeks gestation to a 23-year-old woman with no prenatal care. The mother arrived in active labor and had a spontaneous vaginal delivery. Apgar scores were 7 and 9 at 1 and 5 minutes, respectively. Birth weight is 2.4 kg (5.3 lb). Physical examination reveals microcephaly, small eyes with short palpebral fissures, a smooth philtrum, and thin upper lip. She also has a heart murmur.</p>","Further evaluation of the mother would most likely reveal a history of which of the following? ","Amphetamine use during pregnancy","Cigarette smoking during pregnancy","Chronic hypertension","Poorly controlled diabetes mellitus","Regular alcohol consumption during pregnancy",e,"<p><strong>This infant has features characteristic of fetal alcohol syndrome (FAS), including microcephaly, smooth philtrum, thin upper lip, and short palpebral fissures. Growth restriction and cardiac defects (commonly septal defects) are also frequently seen. FAS results from regular maternal alcohol consumption during pregnancy, particularly in the first trimester. Alcohol is a known teratogen that interferes with fetal development, particularly neuronal migration and differentiation.</strong></p>  <p class="""" data-start=""1607"" data-end=""1752""><strong>Choice A (Amphetamine use): May cause fetal growth restriction and premature delivery but not the characteristic facial features seen here.</strong></p>  <p class="""" data-start=""1755"" data-end=""1896""><strong>Choice B (Cigarette smoking): Increases risk of low birth weight and preterm birth but does not cause the dysmorphic features observed.</strong></p>  <p class="""" data-start=""1899"" data-end=""2038""><strong>Choice C (Chronic hypertension): Associated with uteroplacental insufficiency and growth restriction, but not craniofacial anomalies.</strong></p>  <p class="""" data-start=""2041"" data-end=""2226""><strong>Choice D (Poorly controlled diabetes): More commonly associated with macrosomia and congenital anomalies like neural tube or cardiac defects, not microcephaly or facial dysmorphism.</strong></p>",0,14,,2
